id,name,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,reviews_per_month,availability_365
1279666081527148590,"The Broome, Deluxe Queen",Manhattan,SoHo,Private room,468.0,3,0.57,338
1543683559947083167,"M Social Hotel New York Downtown, Deluxe king c...",Manhattan,Financial District,Private room,188.0,23,3.37,265
1559522395930572140,"ModernHaus SoHo, SoHo deluxe king",Manhattan,SoHo,Private room,431.0,3,0.54,273
1665948589959289542,Superior 1-bedroom apartment w/ den & 2 queens,Manhattan,Financial District,Private room,257.0,1,1.0,360
1394234603510215650,Chic boutique hotel stay | Ameritania Hotel,Manhattan,Midtown,Private room,170.0,168,12.23,365
1024580332878266680,"33 Hotel New York City Seaport, Superior courty...",Manhattan,Financial District,Private room,359.0,4,0.31,352
1620340049612392226,"Sixty Les, Queen studio",Manhattan,Lower East Side,Private room,246.0,7,7.0,363
1643343865444978960,Bunk Pod - Shared Bathroom,Manhattan,Midtown,Private room,98.0,44,23.16,315
1639160544019164448,"AMTD Idea Tribeca Hotel, 1 King bed",Manhattan,Tribeca,Private room,149.0,11,8.92,359
1618523976083372756,Hotel Mimosa - Standard queen room,Manhattan,Chinatown,Private room,156.0,3,1.03,202
1620340049559241517,"Sixty Les, Empire terrace",Manhattan,Lower East Side,Private room,246.0,1,1.0,362
1633626388628890894,"Madison LES, NQ standard room",Manhattan,Two Bridges,Private room,159.0,1,0.48,362
1106488077727435771,"The Renwick Hotel New York City, Gallery King",Manhattan,Murray Hill,Private room,242.0,123,4.45,359
1607818499765919168,"Merchant LES, Standard double",Manhattan,Lower East Side,Private room,263.0,4,1.12,363
1639160543426248063,"AMTD Idea Tribeca Hotel, 2 Doubles Tribeca view",Manhattan,Tribeca,Private room,149.0,11,8.46,352
1040635412705241317,"The Lucerne Hotel, Deluxe 2 doubles",Manhattan,Upper West Side,Private room,189.0,94,3.3,362
1043748763612320534,"The Wallace, Deluxe queen one bedroom suite",Manhattan,Upper West Side,Private room,329.0,0,0.0,357
1559522031706181475,"ModernHaus SoHo, Standard Room",Manhattan,SoHo,Private room,431.0,2,0.36,268
1552146007110961325,Single with shared bath & on-site beer garden,Manhattan,Midtown,Private room,179.0,51,23.91,322
1539377115363649225,"YOTEL New York Times Square, Premium queen",Manhattan,Hell's Kitchen,Private room,129.0,80,11.59,281
1531332429799526368,"Jgstay - Times Square, Standard king",Manhattan,Hell's Kitchen,Private room,273.0,9,1.36,308
1491324701388439718,"Hotel Hendricks, Deluxe king",Manhattan,Midtown,Private room,179.0,169,17.98,365
1624139636929624631,Deluxe one king bed room,Manhattan,Midtown,Private room,195.0,2,2.0,364
1544361898114269373,"The Knickerbocker Hotel, Selected by hotel",Manhattan,Theater District,Private room,299.0,3,0.6,24
1218891471303123283,"NH Collection New York Madison Avenue, Selected...",Manhattan,Murray Hill,Private room,215.0,341,11.57,9
1325202410820621081,"Aura Hotel Times Square, One Bedroom Suite",Manhattan,Theater District,Private room,327.0,2,0.24,351
1117330803139603196,"Sofitel New York, Selected by hotel",Manhattan,Midtown,Private room,474.0,29,1.08,71
1511741803493440689,"Ink48 Hotel, Premier Studio Room",Manhattan,Hell's Kitchen,Private room,152.0,3,0.98,355
1645681291050081800,Standard Room One Queen Bed (Floors 8-14th),Manhattan,Theater District,Private room,319.0,0,0.0,257
1542927507814617677,"Kixby, Lux King",Manhattan,Midtown,Private room,226.0,2,0.67,365
1689222078572367637,"Truss Hotel Times Square, Hepburn suite",Manhattan,Hell's Kitchen,Private room,127.0,0,0.0,349
1488416388004310116,"Soho 54 Hotel, Tribeca doubles",Manhattan,SoHo,Private room,151.0,5,0.52,332
1024580574888607407,"33 Hotel New York City Seaport, Deluxe front st...",Manhattan,Financial District,Private room,359.0,3,0.27,357
1207185174397173792,Boutique Hotel in must-explore neighborhood,Manhattan,Lower East Side,Private room,135.0,130,5.66,95
1508048784700339821,A nod to the area’s creative history,Manhattan,Kips Bay,Private room,193.0,9,1.31,291
1544385777073297081,Spacious suite with Times Square views,Manhattan,Theater District,Private room,254.0,1,0.21,287
1138217312170457224,"Paramount Times Square – A Generator Hotel, Sup...",Manhattan,Theater District,Private room,261.0,25,0.99,341
1176767328809600408,"Pestana Park Avenue, Classic Room",Manhattan,Murray Hill,Private room,429.0,0,0.0,287
1549209710354301765,"AKA Central Park, Studio deluxe",Manhattan,Midtown,Private room,535.0,0,0.0,200
1624139637056689659,City view alcove suite one king bed,Manhattan,Midtown,Private room,195.0,1,0.41,304
1573397348574605756,"RIU Plaza Manhattan Times Square, Deluxe king room",Manhattan,Theater District,Private room,256.0,3,0.72,123
1531332218027102349,"Jgstay - Times Square, Deluxe Queen",Manhattan,Hell's Kitchen,Private room,146.0,85,10.67,313
1450862669308335601,"Staypineapple, an Artful Hotel, Midtown, Celebr...",Manhattan,Hell's Kitchen,Private room,199.0,281,3.83,363
1699244486946396751,2 Twins,Manhattan,Midtown,Private room,209.0,0,0.0,364
1024581071004226410,"33 Hotel New York City Seaport, Deluxe peck sli...",Manhattan,Financial District,Private room,529.0,6,0.27,353
1549209927432725414,"AKA Central Park, One bedroom deluxe suite - ac...",Manhattan,Midtown,Private room,535.0,0,0.0,196
1673913219446759435,"Liberty View Brooklyn Hotel, Standard two double",Brooklyn,Sunset Park,Private room,145.0,7,7.0,351
1146468529499413534,"Ace Hotel New York, Cozy",Manhattan,Midtown,Private room,188.0,117,7.8,352
1694988599513680644,"The William Vale, Gotham corner suite with wrap...",Brooklyn,Williamsburg,Private room,399.0,0,0.0,357
1568340107725244785,"Z NYC Hotel, Selected by hotel",Queens,Long Island City,Private room,200.0,60,10.0,361
1638424053687720145,"The Gardens Sonesta ES Suites New York, Junior ...",Manhattan,Upper East Side,Private room,509.0,0,0.0,170
1181127097467285907,"The Hoxton Williamsburg, Cozy Brooklyn view",Brooklyn,Williamsburg,Private room,469.0,16,1.13,353
1545724299816195855,"Hotel 1080, Queen with twin",Brooklyn,Bedford-Stuyvesant,Private room,269.0,106,29.17,311
838263870384970566,Arch Transportation bus service,Queens,Cambria Heights,Entire home/apt,194.0,0,0.0,365
36333124,"NU Hotel, Double Standard Room",Brooklyn,Boerum Hill,Private room,259.0,18,0.23,193
53117856,habitacion en el bronx,Bronx,Fordham,Private room,72.0,7,0.13,365
1705099787293783835,Spacious townhouse in Brooklyn,Brooklyn,Bedford-Stuyvesant,Entire home/apt,272.0,0,0.0,235
1685775591409057472,Crown Heights Brooklyn Utopia Oasis,Brooklyn,Crown Heights,Entire home/apt,118.0,0,0.0,89
1074617829677960916,Excellent Location 2 Bdr Gem at  Flatbush Junction,Brooklyn,Flatbush,Entire home/apt,142.0,0,0.0,216
873701,"Chic, quiet 1BR with patio (steps from the subway)",Brooklyn,Crown Heights,Entire home/apt,135.0,214,1.32,150
960353377119642101,cozy 3 bed-room apartment,Brooklyn,Flatbush,Entire home/apt,196.0,0,0.0,268
657441930493975647,"3BR NYC Creative Loft @ Williamsburg, Brooklyn",Brooklyn,Williamsburg,Entire home/apt,233.0,10,0.21,317
40239461,Two story beautiful Bedstuy Brownstone,Brooklyn,Bedford-Stuyvesant,Entire home/apt,341.0,4,0.07,83
52041617,Chelsea Rooms Unique Hotel,Manhattan,Chelsea,Private room,205.0,176,3.03,365
48541458,"Brownstone! 20’ Ceilings, Nursery, Office & Garden",Manhattan,Harlem,Entire home/apt,628.0,26,0.44,43
990367,Colorful Harlem Apartment,Manhattan,Harlem,Entire home/apt,149.0,28,0.18,173
913227757411567414,Relaxing  Room in Williamsburg,Brooklyn,Bedford-Stuyvesant,Private room,167.0,1,0.03,365
913651309025783642,Dream Room In Williamsburg,Brooklyn,Bedford-Stuyvesant,Private room,167.0,3,0.08,365
1309445836235423904,Private Room in NYC,Queens,Forest Hills,Private room,76.0,0,0.0,365
1446551165037535755,Bushwick Bedroom #3,Brooklyn,Bushwick,Private room,277.0,2,0.23,180
843026966136839934,Modern 1br in Upper East Side,Manhattan,Upper East Side,Entire home/apt,182.0,1,0.03,207
794071520594124768,Private Studio in Brownstone,Manhattan,Harlem,Entire home/apt,335.0,0,0.0,365
1699419655050000081,Classic Private Room #1428 D,Manhattan,Harlem,Private room,78.0,0,0.0,83
1480844956464901314,45 West 81st Street Studio,Manhattan,Upper West Side,Entire home/apt,144.0,2,0.25,316
660310667265628435,Lovely room in large apartment with private yard,Queens,Ridgewood,Private room,176.0,12,0.26,365
1455270489326786765,Artist’s Oasis in Brooklyn Skies,Brooklyn,East Flatbush,Entire home/apt,365.0,0,0.0,98
2793740,East Village loft; authentic NY.,Manhattan,Lower East Side,Private room,293.0,0,0.0,365
839832783319798273,Brooklyn's Modern Masterpiece,Brooklyn,Canarsie,Entire home/apt,219.0,26,0.67,365
1294386769599107546,Cool Room in Brooklyn,Brooklyn,Crown Heights,Private room,152.0,0,0.0,365
52109956,Excellent big room in cypress hills,Brooklyn,Cypress Hills,Private room,46.0,147,2.53,346
1065403714551533946,Luxury Independent Rooms,Brooklyn,Bedford-Stuyvesant,Private room,310.0,0,0.0,269
593539441379982570,Prívate and Cozy Room Waiting for You,Brooklyn,Bushwick,Private room,62.0,0,0.0,90
1724731,Luxury apt share/meatpacking/chelse,Manhattan,Chelsea,Entire home/apt,249.0,1,0.01,164
1206794730066104766,"Private, one bed and one bath.",Bronx,Clason Point,Entire home/apt,100.0,0,0.0,365
4783902,Stunning 1BD in West Village Duplex,Manhattan,West Village,Private room,166.0,0,0.0,365
21596559,佳源家庭旅馆,Queens,Flushing,Private room,68.0,70,0.67,90
1673425021691907880,Waterfront | Manhattan skyline | Private Terrace,Brooklyn,Williamsburg,Entire home/apt,503.0,0,0.0,337
34866447,Newly Renovated 5 Bed 2 Bath Spacious Apartment,Brooklyn,Crown Heights,Entire home/apt,238.0,50,0.59,305
957256229805799881,Unique & Trendy Bushwick Duplex,Brooklyn,Bushwick,Entire home/apt,231.0,0,0.0,270
24784400,Cozy Studio in Queens,Queens,East Elmhurst,Entire home/apt,57.0,0,0.0,365
1722101,"Luxury, Safe Apartment with Stunning Views",Manhattan,Upper West Side,Entire home/apt,392.0,24,0.2,143
1356813873885764919,Casa del Sol,Brooklyn,Cypress Hills,Private room,149.0,1,0.07,363
40155082,Easy & quiet stay,Bronx,Throgs Neck,Entire home/apt,354.0,0,0.0,365
803150657798963011,Cozy room in the heart of Brooklyn,Brooklyn,East Flatbush,Private room,87.0,1,0.02,365
1280653458160564660,Luxury Art Living in Brooklyn,Brooklyn,Bedford-Stuyvesant,Entire home/apt,168.0,0,0.0,217
1061949170995507464,Quiet basement room and backyard,Manhattan,Upper West Side,Private room,166.0,0,0.0,269
750878732923935980,Large and comfortable with Washer&Dryer in the UWS,Manhattan,Upper West Side,Entire home/apt,336.0,0,0.0,365
1100277641920135153,pinkpink super commodious room,Brooklyn,Sunset Park,Private room,98.0,0,0.0,270
1499348268670584935,Cozy Bedroom in a Duplex,Manhattan,East Harlem,Private room,79.0,0,0.0,284
1096497378189892283,Cute Room Upper Manhattan,Manhattan,East Harlem,Private room,62.0,2,0.18,269
53128684,Fantastic Brownstone Apartment near Central Park,Manhattan,Upper West Side,Entire home/apt,245.0,52,1.02,350
